Faculty_ID,Day,Period
M1,Mon,6
M1,Wed,4
M1,Wed,5
M1,Fri,4
M1,Fri,5
M1,Fri,6
M1,Sat,6
E2,Wed,1
E2,Wed,2
E2,Wed,3
E2,Wed,4
ME1,Wed,4
ME1,Thu,1
ME1,Thu,6
ME1,Fri,2
ME1,Fri,3
ME2,Mon,1
ME2,Mon,2
ME2,Wed,4
ME2,Thu,1
ME2,Thu,2
ME2,Fri,5
ME2,Fri,6
ME2,Fri,7
ME2,Sat,1
ME2,Sat,2
ME3,Mon,5
ME3,Mon,6
ME3,Tue,1
ME3,Wed,4
ME3,Thu,4
ME3,Sat,1
ME3,Sat,2
ME3,Sat,3
ME5,Mon,3
ME5,Mon,6
ME5,Mon,7
ME5,Tue,6
ME5,Tue,7
ME5,Wed,5
ME5,Wed,6
ME5,Wed,7
ME5,Thu,4
ME5,Thu,5
ME5,Fri,4
ME5,Fri,5
ME5,Fri,6
ME5,Fri,7
ME5,Sat,5
ME5,Sat,6
EE1,Wed,1
EE1,Wed,2
EE1,Wed,3
EE1,Sat,1
EE1,Sat,2
EE1,Sat,3
EE2,Tue,2
EE2,Tue,3
EE2,Tue,4
EE2,Wed,5
EE2,Wed,6
EE2,Wed,7
EE2,Thu,2
EE2,Thu,3
EE2,Thu,4
EE2,Fri,2
EE2,Fri,3
EE2,Fri,4
EE3,Mon,5
EE3,Tue,3
EE3,Tue,7
EE3,Wed,2
EE3,Wed,7
EE3,Thu,1
EE3,Thu,3
EE3,Fri,1
EE3,Fri,2
EE3,Sat,5
EE4,Wed,1
EE4,Wed,2
EE4,Wed,3
EE4,Sat,1
EE4,Sat,2
EE4,Sat,3
EE5,Mon,5
EE5,Mon,6
EE5,Mon,7
EE5,Sat,5
EE5,Sat,6
EE5,Sat,7
EE6,Mon,5
EE6,Mon,6
EE6,Mon,7
EE6,Tue,5
EE6,Tue,6
EE6,Tue,7
EE7,Mon,5
EE7,Mon,6
EE7,Mon,7
EE7,Tue,5
EE7,Tue,6
EE7,Tue,7
EE8,Mon,5
EE8,Mon,6
EE8,Mon,7
EE8,Tue,5
EE8,Tue,6
EE8,Tue,7
EE8,Wed,1
EE8,Wed,2
EE8,Wed,3
EE8,Sat,1
EE8,Sat,2
EE8,Sat,3
EE9,Tue,2
EE9,Tue,3
EE9,Tue,4
EE9,Tue,5
EE9,Tue,6
EE9,Tue,7
EE9,Wed,2
EE9,Wed,3
EE9,Wed,4
EE9,Wed,5
EE9,Wed,6
EE9,Wed,7
EE9,Thu,2
EE9,Thu,3
EE9,Thu,4
EE9,Fri,2
EE9,Fri,3
EE9,Fri,4
EE11,Tue,1
EE11,Tue,3
EE11,Tue,4
EE11,Thu,1
EE11,Thu,2
EE11,Thu,3
EE11,Thu,4
EE11,Fri,1
EE11,Fri,3
EE11,Sat,2
EE12,Mon,3
EE12,Tue,4
EE12,Tue,5
EE12,Wed,2
EE12,Wed,4
EE12,Wed,6
EE12,Wed,7
EE12,Sat,1
EE12,Sat,6
EE13,Mon,3
EE13,Mon,4
EE13,Mon,7
EE13,Wed,3
EE13,Wed,5
EE13,Wed,6
EE13,Thu,5
EE13,Thu,7
EE13,Fri,5
EE13,Fri,7
EE13,Sat,2
EE13,Sat,5
CS3,Mon,3
CS3,Tue,3
CS3,Wed,3
CS3,Fri,6
CS3,Sat,4
CS6,Mon,6
CS6,Tue,1
CS6,Fri,6
CS6,Sat,1
CS6,Sat,2
CS6,Sat,4

