Subject_ID,Subject_Name,Type
DEVC,Differential Equations and Vector Calculus,Theory
EP,Engineering Physics,Theory
CE,Communicative English,Theory
BCME,Basic Civil & Mechanical Engineering,Theory
ECA-I,Electrical Circuit Analysis-I,Theory
CE Lab,Communicative English Lab,Lab
EP Lab,Engineering Physics Lab,Lab
ITWS,IT workshop,Theory
EWS,Engineering Workshop,Theory
EC Lab,Electrical Circuits Lab,Lab
HWYS,"Health and Wellness, Yoga and Sports",Theory
NA,Network Analysis,Theory
NAS Lab,Network Analysis And Simulation Laboratory,Lab
CHE,Chemistry,Theory
EGT,Engineering Graphics-T,Theory
EGP,Engineering Graphics-P,Lab
BEEE,Basic Electrical &Electronics Engineering,Theory
DS,Data Structures,Theory
CHE Lab,Chemistry Lab,Lab
EEEWS,Electrical &Electronics Engineering workshop,Lab
DS Lab,Data Structures Lab,Lab
NSS,NSS/ NCC /Scouts &Guides/ Community Service,Theory
LIB,Library,Theory
